Address,Price,Sold_Year
FRANKSTON VIC 3199,"$707,500 ",Sold by private treaty 22 Nov 2022
GLADSTONE PARK VIC 3043,"$675,000 ",Sold at auction 22 Nov 2022
GREENVALE VIC 3059,"$485,000 ",Sold at auction 22 Nov 2022
HAMILTON VIC 3300,"$460,000 ",Sold by private treaty 22 Nov 2022
HAMPTON PARK VIC 3976,"$560,000 ",Sold by private treaty 22 Nov 2022
HARKNESS VIC 3337,"$525,000 ",Sold by private treaty 22 Nov 2022
HEATHCOTE VIC 3523,"$750,000 ",Sold by private treaty 22 Nov 2022
HERNE HILL VIC 3218,"$674,000 ",Sold by private treaty 22 Nov 2022
HIGHTON VIC 3216,"$1,100,000 ",Sold at auction 22 Nov 2022
INVERLEIGH VIC 3321,"$519,000 ",Sold by private treaty 22 Nov 2022
INVERLOCH VIC 3996,"$685,000 ",Sold by private treaty 22 Nov 2022
KATAMATITE VIC 3649,"$735,000 ",Sold by private treaty 22 Nov 2022
KINGS PARK VIC 3021,"$650,000 ",Sold by private treaty 22 Nov 2022
LANGWARRIN VIC 3910,"$520,000 ",Sold by private treaty 22 Nov 2022
LARA VIC 3212,"$1,200,000 ",Sold by private treaty 22 Nov 2022
LEARMONTH VIC 3352,"$647,500 ",Sold by private treaty 22 Nov 2022
LILYDALE VIC 3140,"$915,000 ",Sold prior to auction 22 Nov 2022
LUCAS VIC 3350,"$612,000 ",Sold by private treaty 22 Nov 2022
LYNDHURST VIC 3975,"$770,000 ",Sold by private treaty 22 Nov 2022
MAIDEN GULLY VIC 3551,"$493,750 ",Sold by private treaty 22 Nov 2022
MANOR LAKES VIC 3024,"$585,000 ",Sold by private treaty 22 Nov 2022
MARYBOROUGH VIC 3465,"$490,000 ",Sold by private treaty 22 Nov 2022
MELBOURNE VIC 3000,"$298,000 ",Sold by private treaty 22 Nov 2022
MENTONE VIC 3194,"$747,000 ",Sold by private treaty 22 Nov 2022
MINERS REST VIC 3352,"$580,000 ",Sold by private treaty 22 Nov 2022
MOONEE PONDS VIC 3039,"$1,320,000 ",Sold by private treaty 22 Nov 2022
MOORABBIN VIC 3189,"$1,150,000 ",Sold by private treaty 22 Nov 2022
MOOROOLBARK VIC 3138,"$862,000 ",Sold by private treaty 22 Nov 2022
MORWELL VIC 3840,"$357,500 ",Sold by private treaty 22 Nov 2022
MORWELL VIC 3840,"$490,000 ",Sold by private treaty 22 Nov 2022
NARRE WARREN VIC 3805,"$1,440,000 ",Sold by private treaty 22 Nov 2022
NEW GISBORNE VIC 3438,"$480,000 ",Sold by private treaty 22 Nov 2022
NEWPORT VIC 3015,"$1,175,000 ",Sold by private treaty 22 Nov 2022
NEWTOWN VIC 3220,"$1,200,000 ",Sold by private treaty 22 Nov 2022
NOBLE PARK VIC 3174,"$570,000 ",Sold by private treaty 22 Nov 2022
NORTH MELBOURNE VIC 3051,"$700,000 ",Sold by private treaty 22 Nov 2022
NORTHCOTE VIC 3070,"$502,500 ",Sold by private treaty 22 Nov 2022
NYAH WEST VIC 3595,"$650,000 ",Sold by private treaty 22 Nov 2022
PAKENHAM VIC 3810,"$478,000 ",Sold by private treaty 22 Nov 2022
PAKENHAM VIC 3810,"$790,000 ",Sold by private treaty 22 Nov 2022
PAKENHAM VIC 3810,"$695,000 ",Sold by private treaty 22 Nov 2022
PAKENHAM VIC 3810,"$650,000 ",Sold by private treaty 22 Nov 2022
PAKENHAM VIC 3810,"$800,000 ",Sold by private treaty 22 Nov 2022
PAKENHAM VIC 3810,"$665,000 ",Sold by private treaty 22 Nov 2022
PASCOE VALE VIC 3044,"$862,532 ",Sold prior to auction 22 Nov 2022
PASCOE VALE VIC 3044,"$1,285,000 ",Sold at auction 22 Nov 2022
PORT MELBOURNE VIC 3207,"$1,550,000 ",Sold prior to auction 22 Nov 2022
PORTLAND VIC 3305,"$440,000 ",Sold by private treaty 22 Nov 2022
RYE VIC 3941,"$800,000 ",Sold by private treaty 22 Nov 2022
SAN REMO VIC 3925,"$750,000 ",Sold by private treaty 22 Nov 2022
SANCTUARY LAKES VIC 3030,"$1,535,000 ",Sold by private treaty 22 Nov 2022
SEAFORD VIC 3198,"$880,000 ",Sold prior to auction 22 Nov 2022
SEAFORD VIC 3198,"$520,000 ",Sold by private treaty 22 Nov 2022
SEBASTOPOL VIC 3356,"$470,000 ",Sold by private treaty 22 Nov 2022
SHEPPARTON VIC 3630,"$346,000 ",Sold by private treaty 22 Nov 2022
SHEPPARTON VIC 3630,"$420,000 ",Sold by private treaty 22 Nov 2022
SILVERLEAVES VIC 3922,"$1,100,250 ",Sold by private treaty 22 Nov 2022
SNAKE VALLEY VIC 3351,"$290,000 ",Sold by private treaty 22 Nov 2022
SOUTH MELBOURNE VIC 3205,"$350,000 ",Sold by private treaty 22 Nov 2022
SOUTHBANK VIC 3006,"$420,000 ",Sold by private treaty 22 Nov 2022
ST ALBANS PARK VIC 3219,"$660,000 ",Sold by private treaty 22 Nov 2022
ST LEONARDS VIC 3223,"$750,000 ",Sold by private treaty 22 Nov 2022
STAWELL VIC 3380,"$322,000 ",Sold by private treaty 22 Nov 2022
SUNBURY VIC 3429,"$1,020,000 ",Sold by private treaty 22 Nov 2022
SUNBURY VIC 3429,"$950,000 ",Sold by private treaty 22 Nov 2022
SUNBURY VIC 3429,"$730,000 ",Sold by private treaty 22 Nov 2022
SUNBURY VIC 3429,"$475,000 ",Sold by private treaty 22 Nov 2022
SUNBURY VIC 3429,"$692,000 ",Sold by private treaty 22 Nov 2022
TARNEIT VIC 3029,"$675,000 ",Sold by private treaty 22 Nov 2022
TARNEIT VIC 3029,"$680,000 ",Sold by private treaty 22 Nov 2022
TARNEIT VIC 3029,"$580,000 ",Sold by private treaty 22 Nov 2022
